;precision;recall;f1-score;support;class
0;1.0;1.0;1.0;20.0;boron-B
1;1.0;1.0;1.0;33.0;calcium-Ca
2;1.0;1.0;1.0;1.0;healthy
3;0.9285714285714286;1.0;0.9629629629629629;13.0;iron-Fe
4;1.0;0.9375;0.967741935483871;16.0;magnesium-Mg
5;1.0;1.0;1.0;17.0;manganese-Mn
6;1.0;1.0;1.0;21.0;more-deficiencies
7;1.0;1.0;1.0;13.0;nitrogen-N
8;1.0;1.0;1.0;49.0;phosphorus-P
9;1.0;1.0;1.0;19.0;potasium-K
10;0.995049504950495;0.995049504950495;0.995049504950495;0.995049504950495;accuracy
11;0.9928571428571429;0.99375;0.9930704898446834;202.0;macro avg
12;0.9954031117397453;0.995049504950495;0.9950613340903983;202.0;weighted avg
