;train_loss;train_acc;val_loss;val_acc
0;2.0560101167015405;0.26598639455782314;2.099298119544983;0.19402985074626866
1;1.4568079088045203;0.48707482993197276;2.529088020324707;0.14925373134328357
2;1.0604786263859791;0.6421768707482993;2.4204627445765903;0.22388059701492538
3;0.7640222939460174;0.7496598639455783;3.0126452105385915;0.22885572139303484
4;0.4782117614927499;0.8394557823129252;2.690691556249346;0.21890547263681592
5;0.32407534090073215;0.9;2.7501913138798306;0.24378109452736318
6;0.20569909785104834;0.9408163265306122;2.8075666768210277;0.26865671641791045
7;0.11994318275348;0.9748299319727891;3.942808525902884;0.22388059701492538
8;0.12106202518486459;0.9714285714285714;3.4238932813916887;0.2935323383084577
9;0.08989609194838483;0.9843537414965986;3.787417411804199;0.21890547263681592
10;0.046018657436513385;0.992517006802721;3.3396099635532925;0.2736318407960199
